Name,Artist,Duration,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
Take Me To The River,The Commitments,3:39,0.151,0.649,0.676,0,0.0581,-9.366,0.055,127.362,0.892
Go Your Own Way,Fleetwood Mac,3:38,0.0219,0.597,0.812,0.00106,0.102,-12.062,0.0315,135.68,0.823
Stand By Me,Ben E. King,3:15,0.701,0.653,0.381,0,0.127,-10.313,0.0294,116.007,0.547
House of the Rising Sun,The Animals,4:29,3.34E-04,0.316,0.484,0.00445,0.0912,-9.11,0.0308,117.363,0.299
It's A Man's Man's Man's World,James Brown,2:45,0.68,0.467,0.415,0.00738,0.0691,-9.172,0.0435,161.931,0.609
Jumpin' Jack Flash - Live - Remastered,The Rolling Stones,4:02,0.324,0.27,0.98,0.708,0.986,-7.661,0.184,154.983,0.358
"Shake, Rattle and Roll",Big Joe Turner,2:59,0.788,0.612,0.584,3.13E-06,0.193,-6.296,0.0623,154.704,0.845
Changes - 1997 Remaster,David Bowie,3:34,0.386,0.539,0.414,0,0.16,-8.646,0.0352,113.385,0.361
Born To Be Wild,Steppenwolf,3:56,0.0493,0.491,0.714,2.65E-04,0.355,-11.391,0.0399,144.428,0.646
Mamma Mia,ABBA,3:30,0.393,0.732,0.814,2.57E-04,0.355,-5.327,0.0313,137.575,0.838
Maggie May,Rod Stewart,5:50,0.559,0.605,0.574,0.113,0.0684,-10.536,0.0377,129.449,0.543
With Or Without You - Remastered,U2,4:55,1.85E-04,0.538,0.432,0.309,0.139,-11.882,0.0295,110.181,0.116
Who Do You Love,Bo Diddley,2:30,0.91,0.655,0.921,0,0.0894,-4.298,0.0508,112.779,0.654
In the Midnight Hour,Wilson Pickett,2:37,0.12,0.75,0.444,3.69E-06,0.118,-8.63,0.0403,111.919,0.849
While My Guitar Gently Weeps - Remastered,The Beatles,4:45,0.0205,0.453,0.654,0.00395,0.172,-8.855,0.0317,115,0.702
"Your Song - Live From Madison Square Garden, USA/1974",Elton John,3:58,0.768,0.524,0.323,9.94E-04,0.495,-13.856,0.0316,128.445,0.298
Eleanor Rigby - Remastered 2015,The Beatles,2:05,0.916,0.605,0.314,0,0.359,-7.631,0.0327,138.148,0.836
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,2:39,0.288,0.605,0.315,0,0.599,-8.958,0.0264,111.252,0.441
Family Affair,Sly & The Family Stone,3:03,0.749,0.815,0.504,0.0224,0.0746,-17.628,0.119,108.86,0.784
All I Have to Do Is Dream - Single Version; 2006 Remaster,The Everly Brothers,2:20,0.788,0.581,0.368,0,0.157,-11.264,0.0263,103.716,0.568
I Wanna Be Sedated - Live,Ramones,2:09,1.64E-04,0.369,0.964,0.292,0.0626,-4.1,0.0549,92.523,0.786
Rock Lobster,The B-52's,6:50,0.0278,0.606,0.758,0.0054,0.0506,-12.526,0.0468,92.126,0.485
Lust For Life,Iggy Pop,5:13,0.0125,0.2,0.943,0,0.139,-8.217,0.0544,203.243,0.778
Me and Bobby McGee - Demo Version,Janis Joplin,4:46,0.526,0.543,0.175,0,0.198,-12.932,0.0922,85.025,0.481
Cathy's Clown,The Everly Brothers,2:37,0.0489,0.492,0.83,5.47E-06,0.693,-4.679,0.0394,123.286,0.658
Eight Miles High,The Byrds,3:34,0.205,0.373,0.764,0.0627,0.489,-10.501,0.0721,130.549,0.358
Foxey Lady - Live At Berkeley,Jimi Hendrix,6:30,0.00456,0.309,0.829,0.0761,0.641,-9.458,0.0963,105.083,0.325
Proud Mary,Creedence Clearwater Revival,3:07,0.13,0.699,0.641,2.18E-04,0.0601,-7.564,0.0289,120.745,0.728
The Sound of Silence,Simon & Garfunkel,3:05,0.201,0.432,0.398,3.94E-05,0.138,-12.419,0.0287,106.777,0.526
I Only Have Eyes For You,The Flamingos,3:21,0.905,0.546,0.307,9.39E-04,0.11,-12.834,0.0293,89.229,0.343
Rock Around The Clock,Bill Haley,2:12,0.372,0.686,0.648,4.64E-05,0.073,-11.841,0.2,179.895,0.754
I'm Waiting For The Man,The Velvet Underground,4:45,0.282,0.727,0.54,0.927,0.386,-12.544,0.0469,125.154,0.956
Bring The Noise,Public Enemy,3:45,0.0704,0.777,0.948,0,0.0514,-6.035,0.237,110.178,0.791
I Can't Stop Loving You,Elvis Presley,2:28,0.696,0.318,0.686,0.0365,0.941,-8.94,0.0681,143.225,0.719
Bohemian Rhapsody,Queen,5:55,0.16,0.39,0.293,0,0.202,-14.274,0.0537,143.956,0.203
"Folsom Prison Blues (Live: January, 13, 1968)",Johnny Cash,2:36,0.0215,0.594,0.577,0.00792,0.883,-12.772,0.0534,110.783,0.89
Losing My Religion,R.E.M.,4:27,0.0767,0.672,0.841,0,0.135,-5.992,0.0285,125.437,0.82
Both Sides Now,Joni Mitchell,5:45,0.868,0.258,0.139,0.00149,0.1,-13.522,0.0317,77.995,0.139
Dancing Queen,ABBA,3:50,0.45,0.543,0.871,7.98E-04,0.731,-6.504,0.0453,100.796,0.754
Dream On - Live Version (Edit),Aerosmith,4:53,0.0922,0.262,0.711,0.00382,0.975,-5.623,0.0304,149.21,0.208
God Save The Queen,Sex Pistols,3:17,0.00914,0.3,0.889,7.07E-05,0.255,-9.651,0.0532,149.308,0.518
Paint It Black - Live,The Rolling Stones,4:01,0.0143,0.283,0.928,0.791,0.985,-7.544,0.0726,160.65,0.375
